T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
0.23753,7,128,14,7,2
0.238001,7,128,9,9,9
0.238463,7,128,14,7,7
0.239607,7,128,11,11,2
0.240065,7,128,7,7,2
0.240652,7,128,14,7,2
0.24123,7,128,6,6,2
0.241713,7,128,14,7,7
0.24228,7,128,7,7,2
0.242956,7,128,7,4,4
0.244182,7,128,9,2,4
0.245151,7,128,13,13,8
0.246195,7,128,15,7,8
0.247222,7,128,8,8,3
0.249322,7,128,6,6,3
0.250364,7,128,6,4,8
0.251005,7,128,9,2,4
0.251485,7,128,9,6,8
0.251953,7,128,9,4,8
0.252421,7,128,10,3,5
0.252979,7,128,12,3,3
0.254023,7,128,13,13,8
0.254701,8,128,10,7,3
0.255659,8,128,10,3,5
0.256481,8,128,10,5,3
0.25707,8,128,13,13,0
0.257522,8,128,6,6,3
0.259416,8,128,8,8,3
0.260715,8,128,11,8,4
0.262358,8,128,9,7,0
0.264192,8,128,6,6,3
0.269457,8,128,11,8,4
0.269807,8,128,16,7,0
0.271415,8,128,6,6,3
0.271897,8,128,12,3,4
0.272403,8,128,9,9,0
0.273414,8,128,6,6,3
0.274068,8,128,12,5,7
0.275408,8,128,9,9,4
0.276361,8,128,11,5,1
0.278176,8,128,13,13,0
0.278778,8,128,17,7,1
0.279396,8,128,11,7,1
0.280066,8,128,12,12,3
0.282003,8,128,11,5,1
0.283281,8,128,11,7,1
0.284156,8,128,7,4,7
0.284687,8,128,9,9,0
0.285192,8,128,12,8,4
0.286538,8,128,12,3,4
0.287089,8,128,12,5,7
0.287649,8,128,12,8,4
0.288953,8,128,12,8,4
0.289521,8,128,11,5,1
0.290184,8,128,7,5,0
0.290895,8,128,14,11,0
0.291963,8,128,11,5,1
0.292738,8,128,14,11,0
0.294043,8,128,17,10,5
0.295924,8,128,14,14,1
0.297128,8,128,14,14,1
0.297993,8,128,8,5,9
0.298928,8,128,13,10,6
0.299474,8,128,10,8,1
0.30007,8,128,10,8,1
0.300657,8,128,10,8,1
0.301281,8,128,12,6,2
0.301948,8,128,12,6,3
0.302438,8,128,9,6,10
0.302915,8,128,7,5,1
0.303397,8,128,12,7,3
0.304999,8,128,12,12,3
0.305521,8,128,15,12,1
0.306014,7,128,18,10,5
0.306455,7,128,7,5,1
0.307009,7,128,12,7,3
0.307456,7,128,7,5,1
0.308259,7,128,10,8,1
0.309244,7,128,7,7,4
0.309734,7,128,7,7,4
0.310586,7,128,9,6,10
0.311623,7,128,7,7,4
0.312132,7,128,9,6,10
0.312765,7,128,14,3,6
0.313271,7,128,18,10,6
0.315489,7,128,15,15,2
0.316139,7,128,13,7,4
0.316621,7,128,7,5,1
0.317124,7,128,13,10,6
0.317839,7,128,13,7,5
0.318308,7,128,9,9,1
0.318906,7,128,11,11,6
0.319426,7,128,20,11,6
0.319927,7,128,13,7,5
0.320443,7,128,14,6,10
0.321447,7,128,17,14,3
0.322082,7,128,14,3,6
0.322581,7,128,14,3,6
0.323128,7,128,14,11,7
0.324756,7,128,7,7,5
0.32529,7,128,13,7,5
0.325933,7,128,13,7,5
0.326551,7,128,8,5,1
0.327053,7,128,14,11,8
0.327518,7,128,21,9,5
0.327959,7,128,9,9,1
