T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
264,3,104,3,3,7
265,3,104,4,1,7
266,3,104,5,4,10
267,3,104,4,2,6
268,3,104,6,2,8
269,3,104,6,4,7
270,3,104,5,2,7
271,3,104,5,4,6
272,3,104,3,2,11
273,3,104,6,6,11
274,3,104,7,3,9
275,3,104,6,3,8
276,3,104,4,3,7
277,3,104,3,2,7
278,3,104,7,7,7
279,3,104,5,3,7
280,3,104,6,6,7
281,3,104,5,4,10
282,3,104,3,1,8
283,3,104,5,2,5
284,3,104,4,2,8
285,3,104,2,2,5
286,3,104,3,1,7
287,3,104,3,2,6
288,3,104,7,6,10
289,3,104,5,2,9
290,3,104,5,3,7
291,3,104,3,1,8
292,3,104,6,2,10
293,3,104,7,1,8
294,3,104,5,2,8
295,3,104,6,5,7
296,3,104,3,3,7
297,3,104,4,2,9
298,3,104,6,4,6
299,3,104,4,1,8
300,3,104,4,2,8
301,3,104,6,5,12
302,3,104,2,2,7
303,3,104,4,3,6
304,3,104,4,2,7
305,3,104,3,3,9
306,3,104,7,3,10
307,3,104,4,2,8
308,3,104,6,4,11
309,3,104,3,3,8
310,3,104,7,6,8
311,3,104,7,6,9
312,3,104,8,7,9
313,2,104,5,1,8
314,2,104,6,3,6
315,2,104,7,5,8
316,2,104,5,2,10
317,2,104,5,2,9
318,2,104,8,7,11
319,2,104,7,7,9
320,2,104,8,4,11
321,2,104,4,2,8
322,2,104,6,4,9
323,2,104,4,4,8
324,2,104,4,3,8
325,2,104,6,5,11
326,3,104,5,3,10
327,3,104,4,2,9
328,3,104,6,2,8
329,3,104,5,3,9
330,3,104,6,3,10
331,3,104,5,3,10
332,3,104,6,3,0
333,3,104,7,3,1
334,3,104,5,4,9
335,3,104,6,5,10
336,3,104,4,2,1
337,3,104,7,4,7
338,3,104,6,4,9
339,3,104,4,4,1
340,3,104,7,3,8
341,3,104,7,4,9
342,3,104,5,3,2
343,3,104,4,1,8
344,3,104,6,4,11
345,3,104,5,2,0
346,3,104,6,4,11
347,3,104,7,3,1
348,3,104,7,6,9
349,3,104,7,1,0
350,3,104,4,3,9
351,3,104,6,4,10
352,3,104,5,3,10
