T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
117,4,104,18,6,17
117,4,104,11,4,17
118,4,104,7,7,9
118,4,104,11,7,17
118,4,104,11,4,17
118,4,104,6,3,14
118,4,104,7,7,11
119,4,104,11,11,17
119,4,104,12,4,16
119,4,104,10,7,14
119,4,104,11,11,17
119,4,104,11,11,17
119,4,104,11,7,17
120,4,104,7,7,12
120,4,104,11,11,14
120,4,104,11,7,17
121,4,104,11,11,14
124,4,104,18,12,16
125,4,104,10,10,14
125,4,104,10,10,14
126,4,104,7,4,16
127,4,104,13,13,19
129,4,104,8,4,12
129,4,104,8,4,12
130,4,104,8,4,12
130,4,104,12,8,18
131,4,104,12,8,19
131,4,104,8,5,17
131,4,104,8,7,12
131,4,104,12,4,19
131,4,104,7,7,10
131,4,104,12,12,15
131,4,104,19,12,16
131,4,104,8,7,12
132,4,104,12,4,19
132,4,104,8,7,12
132,4,104,8,4,12
132,4,104,10,10,10
132,4,104,10,10,10
132,4,104,8,5,17
133,4,104,10,10,10
133,4,104,8,5,17
136,4,104,13,4,16
136,4,104,19,12,16
136,4,104,11,11,15
137,4,104,13,4,20
137,4,104,8,7,12
138,4,104,13,13,19
139,4,104,13,9,21
139,4,104,8,7,12
139,4,104,8,7,17
139,4,104,21,13,17
139,4,104,13,9,21
140,4,104,11,8,17
140,4,104,14,14,17
140,4,104,14,4,17
140,4,104,14,4,17
140,4,104,14,14,20
140,4,104,10,10,11
140,4,104,13,4,21
141,4,104,13,9,21
143,4,104,8,7,12
143,4,104,14,14,20
143,4,104,22,8,21
144,4,104,8,7,12
144,4,104,8,7,17
144,4,104,8,7,12
144,4,104,9,9,11
144,4,104,8,7,12
144,4,104,22,8,21
144,4,104,8,7,12
144,4,104,11,11,15
146,4,104,11,11,11
147,4,104,15,5,19
147,4,104,15,15,21
148,4,104,22,14,19
149,4,104,23,14,19
149,4,104,15,15,18
149,4,104,23,9,22
150,4,104,13,4,22
153,4,104,13,13,17
153,4,104,13,9,23
153,4,104,9,9,11
153,4,104,10,6,14
155,4,104,13,8,18
155,4,104,9,7,14
155,4,104,26,11,24
155,4,104,26,11,24
155,4,104,9,6,18
156,4,104,9,7,18
157,4,104,9,6,18
157,4,104,14,4,25
157,4,104,9,7,14
157,4,104,11,11,11
159,4,104,10,10,12
159,4,104,14,4,25
159,4,104,11,11,12
159,4,104,11,11,12
159,4,104,14,10,25
162,4,104,16,16,22
162,4,104,11,11,13
163,4,104,9,6,18
163,4,104,16,16,22
163,4,104,11,11,13
164,4,104,14,14,18
164,4,104,14,8,18
164,4,104,14,14,18
164,4,104,14,8,18
164,4,104,13,13,14
165,4,104,9,7,14
165,4,104,14,14,18
166,4,104,16,16,22
168,4,104,26,15,20
170,4,104,10,8,15
172,4,104,17,17,23
172,4,104,11,8,20
172,4,104,16,12,27
172,4,104,10,6,15
172,4,104,11,11,15
173,4,104,17,17,23
173,4,104,17,17,23
173,4,104,10,6,15
173,4,104,17,17,20
173,4,104,10,8,15
174,4,104,16,4,27
174,4,104,17,17,23
174,4,104,16,4,27
174,4,104,17,17,20
175,4,104,16,4,27
176,4,104,26,15,20
176,4,104,26,11,27
177,4,104,26,11,27
179,4,104,11,8,16
179,4,104,11,8,20
180,4,104,11,7,16
180,4,104,17,17,23
180,4,104,26,11,28
180,4,104,14,8,21
182,4,104,17,6,24
182,4,104,13,11,16
182,4,104,18,18,24
182,4,104,26,11,28
182,4,104,26,11,28
182,4,104,14,8,21
182,4,104,13,11,16
182,4,104,18,18,24
183,4,104,17,5,28
183,4,104,18,18,24
183,4,104,26,11,28
184,4,104,16,16,17
184,4,104,12,8,17
184,4,104,26,11,28
184,4,104,12,9,21
184,4,104,18,18,24
184,4,104,17,6,24
184,4,104,17,17,20
186,4,104,13,11,17
188,4,104,17,17,20
188,4,104,16,16,20
188,4,104,12,12,17
188,4,104,19,5,31
188,4,104,16,8,21
189,4,104,19,5,31
190,4,104,12,9,21
190,4,104,12,12,17
190,4,104,18,18,24
190,4,104,16,16,20
190,4,104,12,9,21
192,4,104,18,18,24
192,4,104,18,5,21
192,4,104,17,17,21
196,4,104,12,12,17
196,4,104,17,17,21
196,4,104,12,9,21
197,4,104,12,9,21
197,4,104,12,9,20
197,4,104,12,12,17
198,4,104,14,10,20
199,4,104,12,12,17
199,4,104,16,16,17
199,4,104,13,11,21
199,4,104,28,15,21
199,4,104,18,18,22
199,4,104,12,9,21
199,4,104,18,18,24
199,4,104,17,17,21
199,4,104,13,11,21
201,4,104,12,9,21
201,4,104,17,17,21
201,4,104,29,13,35
201,4,104,16,16,17
201,4,104,19,14,35
201,4,104,29,16,21
201,4,104,13,11,22
201,4,104,18,6,24
201,4,104,12,12,17
201,4,104,18,18,22
202,4,104,29,16,21
202,4,104,15,11,22
202,4,104,29,13,35
202,4,104,15,11,22
202,4,104,18,18,25
203,4,104,22,8,35
203,4,104,12,9,21
203,4,104,12,9,21
203,4,104,12,9,21
204,4,104,18,18,22
204,4,104,13,13,18
205,4,104,18,5,21
205,4,104,19,14,35
205,4,104,29,16,21
205,4,104,12,9,21
205,4,104,29,16,21
205,4,104,19,14,35
205,4,104,29,16,21
209,4,104,16,16,20
210,4,104,13,11,22
211,4,104,18,8,21
211,4,104,12,9,21
213,4,104,15,11,22
213,4,104,18,18,22
213,4,104,12,9,21
213,4,104,15,15,20
213,4,104,18,8,21
215,4,104,15,11,22
215,4,104,19,19,26
215,4,104,32,17,22
215,4,104,15,15,20
217,4,104,23,9,39
217,4,104,20,20,24
217,4,104,32,17,22
217,4,104,20,15,39
217,4,104,15,15,20
217,4,104,15,15,20
217,4,104,13,10,22
217,4,104,20,20,24
217,4,104,15,11,22
217,4,104,13,11,22
217,4,104,15,15,20
217,4,104,18,18,22
217,4,104,20,20,24
217,4,104,20,15,39
217,4,104,32,15,39
218,4,104,17,17,20
218,4,104,15,15,20
218,4,104,13,10,22
218,4,104,32,15,39
222,4,104,15,15,20
222,4,104,14,10,23
222,4,104,20,5,23
222,4,104,32,15,39
222,4,104,15,11,23
222,4,104,14,11,23
222,4,104,20,20,28
223,4,104,20,20,29
224,4,104,14,12,23
225,4,104,21,9,29
226,4,104,21,16,40
227,4,104,32,17,23
227,4,104,14,11,23
227,4,104,32,15,40
227,4,104,18,8,23
229,4,104,23,9,40
229,4,104,14,12,25
230,4,104,20,20,29
230,4,104,17,17,22
230,4,104,23,9,41
230,4,104,21,21,26
230,4,104,16,13,25
232,4,104,17,17,22
232,4,104,22,16,42
232,4,104,14,11,23
233,4,104,23,9,43
233,4,104,20,5,23
234,4,104,35,18,44
