T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
264,4,104,18,16,26
265,4,104,33,15,51
266,4,104,34,19,34
267,4,104,22,16,35
268,4,104,20,20,23
269,4,104,35,16,52
270,4,104,20,16,27
271,4,104,21,21,24
272,4,104,22,18,31
273,4,104,28,19,53
274,4,104,22,22,25
275,4,104,29,20,54
276,4,104,18,18,27
277,4,104,21,15,29
278,4,104,24,19,55
279,4,104,23,23,26
280,4,104,23,19,32
281,4,104,24,24,27
282,4,104,25,20,56
283,4,104,36,17,57
284,4,104,18,16,26
285,4,104,24,20,33
286,4,104,19,17,27
287,4,104,19,17,28
288,4,104,20,18,28
289,4,104,25,25,28
290,4,104,30,21,58
291,4,104,26,26,29
292,4,104,22,16,30
293,4,104,19,12,31
294,4,104,37,18,59
295,4,104,38,20,36
296,4,104,25,21,34
297,4,104,27,27,30
298,4,104,26,22,35
299,4,104,39,21,37
300,4,104,21,17,29
301,4,104,16,16,30
302,4,104,40,19,60
303,4,104,19,17,28
304,4,104,20,18,29
305,4,104,21,19,30
306,4,104,26,21,61
307,4,104,22,18,30
308,4,104,27,23,36
309,4,104,41,22,38
310,4,104,20,18,30
311,4,104,42,23,39
312,4,104,21,19,31
313,4,104,28,24,37
314,4,104,43,20,62
315,4,104,44,21,63
316,4,104,23,17,32
317,4,104,28,22,64
318,4,104,21,19,29
319,4,104,29,25,38
320,4,104,29,23,65
321,4,104,22,20,31
322,4,104,23,19,31
323,4,104,30,26,39
324,4,104,17,17,31
325,4,104,45,24,40
326,4,104,28,28,31
327,4,104,31,27,40
328,4,104,22,20,30
329,4,104,46,25,41
330,4,104,47,22,66
331,4,104,19,19,31
332,4,104,23,21,32
333,4,104,22,22,32
334,4,104,48,26,42
335,4,104,24,20,33
336,4,104,24,18,33
337,4,104,25,19,34
338,4,104,18,18,32
339,4,104,24,22,33
340,4,104,49,27,43
341,4,104,19,19,33
342,4,104,31,24,67
343,4,104,31,6,41
344,4,104,25,21,34
345,4,104,20,20,34
346,4,104,32,28,42
347,4,104,29,29,33
348,4,104,26,22,35
349,4,104,50,28,44
350,4,104,20,20,34
351,4,104,51,23,68
352,4,104,52,24,69
353,4,104,22,13,35
354,4,104,32,25,70
355,4,104,33,29,43
356,4,104,27,23,36
357,4,104,23,21,34
358,4,104,30,30,34
359,4,104,53,29,45
360,4,104,24,22,35
361,4,104,21,21,35
362,4,104,33,26,71
363,4,104,21,21,35
364,4,104,31,31,35
365,4,104,54,25,72
366,4,104,23,23,36
367,4,104,34,22,73
368,4,104,32,32,36
369,4,104,28,24,37
370,4,104,23,14,36
371,4,104,34,30,44
372,4,104,55,26,74
373,4,104,33,33,37
374,4,104,34,7,45
375,4,104,26,20,37
376,4,104,34,34,38
377,4,104,56,27,75
378,4,104,34,17,46
379,4,104,57,30,47
380,4,104,22,22,36
381,4,104,58,28,76
382,4,104,25,23,36
383,4,104,22,22,38
384,4,104,23,23,37
385,4,104,26,24,37
386,4,104,27,21,38
387,4,104,34,27,77
388,4,104,25,23,38
389,4,104,24,15,39
390,4,104,24,24,39
391,4,104,27,25,39
392,4,104,28,26,40
393,4,104,25,25,40
394,4,104,28,22,40
395,4,104,23,23,39
396,4,104,35,8,46
397,4,104,29,23,41
398,4,104,30,24,42
399,4,104,26,24,39
400,4,104,31,25,43
401,4,104,59,29,78
402,4,104,26,26,41
403,4,104,35,28,79
404,4,104,29,25,40
405,4,104,24,24,40
406,4,104,32,26,44
407,4,104,24,24,44
408,4,104,25,20,40
409,4,104,60,30,80
410,4,104,35,18,48
411,4,104,30,26,41
412,4,104,27,27,42
413,4,104,31,27,42
414,4,104,36,19,49
415,4,104,61,31,50
416,4,104,26,21,41
417,4,104,35,31,47
418,4,104,25,16,45
419,4,104,27,22,42
420,4,104,37,20,51
421,4,104,33,27,46
422,4,104,29,27,42
423,4,104,36,29,81
424,4,104,25,25,46
425,4,104,25,25,41
426,4,104,32,28,43
427,4,104,37,23,82
428,4,104,37,30,83
429,4,104,35,35,41
430,4,104,28,23,43
431,4,104,62,32,52
432,4,104,38,24,84
433,4,104,36,9,48
434,4,104,34,28,47
435,4,104,28,28,43
436,4,104,29,29,44
437,4,104,30,30,45
438,4,104,37,32,49
439,4,104,39,25,85
440,4,104,27,25,43
441,4,104,31,31,46
442,4,104,38,21,53
443,4,104,30,28,44
444,4,104,38,33,50
445,4,104,39,34,51
446,4,104,63,31,86
447,4,104,64,32,87
448,4,104,35,29,48
449,4,104,39,10,52
450,4,104,28,26,44
451,4,104,26,26,42
452,4,104,32,32,47
453,4,104,29,24,44
454,4,104,33,33,48
455,4,104,29,27,45
456,4,104,30,25,45
457,4,104,36,36,42
458,4,104,40,35,53
459,4,104,34,34,49
460,4,104,31,29,46
461,4,104,33,29,46
462,4,104,37,37,43
463,4,104,31,26,46
464,4,104,30,28,47
465,4,104,65,33,88
466,4,104,27,27,43
467,4,104,32,27,47
468,4,104,66,33,54
469,4,104,40,11,54
470,4,104,67,34,55
471,4,104,33,28,48
472,4,104,33,30,48
473,4,104,26,26,48
474,4,104,28,28,44
475,4,104,40,22,56
476,4,104,40,31,89
477,4,104,41,36,55
478,4,104,34,30,48
479,4,104,35,31,49
480,4,104,41,26,90
481,4,104,27,27,49
482,4,104,42,27,91
483,4,104,36,30,49
484,4,104,42,37,56
485,4,104,31,29,49
486,4,104,34,31,50
487,4,104,29,29,45
488,4,104,68,34,92
489,4,104,42,32,93
490,4,104,38,38,45
491,4,104,69,35,94
492,4,104,34,29,49
493,4,104,39,39,46
494,4,104,28,28,50
495,4,104,35,35,50
496,4,104,36,36,51
497,4,104,28,17,50
498,4,104,70,35,57
499,4,104,35,32,51
500,4,104,71,36,58
501,4,104,72,36,95
502,4,104,32,30,50
503,4,104,33,31,51
504,4,104,40,40,47
505,4,104,41,41,48
506,4,104,36,32,52
507,4,104,37,31,51
508,4,104,38,32,52
509,4,104,43,38,57
510,4,104,73,37,59
511,4,104,39,33,53
512,4,104,37,37,52
513,4,104,37,33,53
514,4,104,44,39,58
515,4,104,34,32,52
516,4,104,42,42,49
517,4,104,29,29,53
518,4,104,38,38,53
519,4,104,39,39,54
520,4,104,35,30,52
521,4,104,36,31,53
522,4,104,29,18,54
523,4,104,74,37,96
524,4,104,30,19,55
525,4,104,40,34,56
526,4,104,40,40,55
527,4,104,43,43,50
528,4,104,41,35,57
529,4,104,30,30,50
530,4,104,42,36,58
531,4,104,35,33,53
532,4,104,41,41,56
533,4,104,31,20,59
534,4,104,42,12,59
535,4,104,43,33,97
536,4,104,37,32,54
537,4,104,44,28,98
538,4,104,38,34,54
539,4,104,31,31,51
540,4,104,37,33,54
541,4,104,38,33,55
542,4,104,39,34,56
543,4,104,45,40,60
544,4,104,39,35,56
545,4,104,32,32,52
546,4,104,36,34,56
547,4,104,33,33,53
548,4,104,75,38,60
549,4,104,34,34,54
550,4,104,45,29,99
551,4,104,32,21,60
552,4,104,46,41,61
553,4,104,39,34,57
554,4,104,37,35,57
555,4,104,76,39,61
556,4,104,42,42,58
557,4,104,43,37,61
558,4,104,35,35,55
559,4,104,40,35,57
560,4,104,77,38,100
561,4,104,41,36,58
562,4,104,46,30,101
563,4,104,38,36,58
564,4,104,32,30,61
565,4,104,41,35,59
566,4,104,39,37,59
567,4,104,78,39,102
568,4,104,40,36,60
569,4,104,46,13,62
570,4,104,43,43,60
571,4,104,44,44,61
572,4,104,41,37,61
573,4,104,42,38,62
574,4,104,33,22,62
575,4,104,34,23,63
576,4,104,42,36,60
577,4,104,47,31,103
578,4,104,34,31,62
579,4,104,43,39,63
580,4,104,47,42,63
581,4,104,79,40,104
582,4,104,44,44,55
583,4,104,44,40,64
584,4,104,35,32,63
585,4,104,44,38,64
586,4,104,80,41,105
587,4,104,36,36,56
588,4,104,47,34,106
589,4,104,45,45,56
590,4,104,43,37,61
591,4,104,45,39,65
592,4,104,36,33,64
593,4,104,48,35,107
594,4,104,81,40,63
595,4,104,82,41,64
596,4,104,45,45,62
597,4,104,46,46,63
598,4,104,36,24,66
599,4,104,83,42,108
600,4,104,49,36,109
601,4,104,37,34,65
602,4,104,38,35,66
603,4,104,38,25,67
604,4,104,84,43,110
605,4,104,45,41,65
606,4,104,39,26,68
607,4,104,48,43,64
608,4,104,46,42,66
609,4,104,49,44,65
610,4,104,47,43,67
611,4,104,44,38,62
612,4,104,50,45,66
613,4,104,42,37,62
614,4,104,47,47,64
615,4,104,50,32,111
616,4,104,40,38,63
617,4,104,48,48,65
618,4,104,85,42,66
619,4,104,46,40,69
620,4,104,51,46,67
621,4,104,51,33,112
622,4,104,51,23,67
623,4,104,39,36,67
624,4,104,40,27,70
625,4,104,41,28,71
626,4,104,45,39,64
627,4,104,52,47,68
628,4,104,46,40,65
629,4,104,48,44,68
